subsampleID	biosample	sequencingrun	subsamplename
N369Barcode_702-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-505
N369Barcode_720-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-508
N369Barcode_722-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-521
N369Barcode_712-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-515
N369Barcode_714-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-517
N369Barcode_706-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-521
N369Barcode_710-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-517
N369Barcode_707-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-505
N369Barcode_704-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-511
N369Barcode_702-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-521
N369Barcode_716-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-505
N369Barcode_720-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-503
N369Barcode_703-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-506
N369Barcode_722-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-502
N369Barcode_707-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-521
N369Barcode_715-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-510
N369Barcode_703-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-505
N369Barcode_710-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-503
N369Barcode_701-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-507
N369Barcode_720-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-516
N369Barcode_712-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-516
N369Barcode_710-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-505
N369Barcode_722-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-506
N369Barcode_714-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-502
N369Barcode_711-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-522
N369Barcode_710-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-508
N369Barcode_718-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-513
N369Barcode_714-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-516
N369Barcode_715-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-518
N369Barcode_715-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-508
N369Barcode_702-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-515
N369Barcode_704-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-520
N369Barcode_701-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-522
N369Barcode_706-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-515
N369Barcode_703-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-502
N369Barcode_718-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-516
N369Barcode_711-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-502
N369Barcode_707-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-507
N369Barcode_714-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-515
N369Barcode_707-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-508
N369Barcode_720-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-522
N369Barcode_706-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-507
N369Barcode_701-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-516
N369Barcode_719-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-518
N369Barcode_714-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-522
N369Barcode_714-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-508
N369Barcode_711-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-505
N369Barcode_721-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-502
N369Barcode_705-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-517
